2
-100,   0, -100
 -70,  30, -100
 -30, -30, -100
   0,   0, -100
-100,  30,  -70
 -70,  30,  -70
 -30, -30,  -70
   0, -30,  -70
-100, -30,  -30
 -70, -30,  -30
 -30,  30,  -30
   0,  30,  -30
-100,   0,    0
 -70, -30,    0
 -30,  30,    0
   0,   0,    0
   0,   0, -100
  30,  30, -100
  70,  30, -100
 100,   0, -100
   0, -30,  -70
  30, -30,  -70
  70, -30,  -70
 100,   0,  -70
   0,  30,  -30
  30,  30,  -30
  70,  30,  -30
 100,   0,  -30
   0,   0,    0
  30, -30,    0
  70, -30,    0
 100,   0,    0
-100,   0,    0
 -70, -30,    0
 -30,  30,    0
   0,   0,    0
-100,  30,   30
 -70, -30,   30
 -30,  30,   30
   0, -30,   30
-100,  30,   70
 -70, -30,   70
 -30,  30,   70
   0, -30,   70
-100,   0,  100
 -70,   0,  100
 -30,   0,  100
   0,   0,  100
   0,   0,    0
  30, -30,    0
  70, -30,    0
 100,   0,    0
   0, -30,   30
  30, -60,   30
  70, -60,   30
 100,   0,   30
   0, -30,   70
  30, -60,   70
  70,   0,   70
 100,   0,   70
   0,   0,  100
  30,   0,  100
  70,   0,  100
 100,   0,  100
2
 -70,  40,  -70
-100,  40,  -70
 -60,  40,  100
 100,  40,  100
 100,  40,  100
 190,  40,  100
 -10,  40,  -70
 -70,  40,  -70
