2
-100,   0, -100
 -70,   0, -100
 -30,   0, -100
   0,   0, -100
-100,   0,  -70
 -70, -20,  -70
 -30, -40,  -70
   0, -40,  -70
-100,   0,  -30
 -70, -40,  -30
 -30, -60,  -30
   0, -60,  -30
-100,   0,    0
 -70, -40,    0
 -30, -60,    0
   0, -60,    0
   0,   0, -100
  30,   0, -100
  70,   0, -100
 100,   0, -100
   0, -40,  -70
  30, -40,  -70
  70, -20,  -70
 100,   0,  -70
   0, -60,  -30
  30, -60,  -30
  70, -40,  -30
 100,   0,  -30
   0, -60,    0
  30, -60,    0
  70, -40,    0
 100,   0,    0
-100,   0,    0
 -70, -40,    0
 -30, -60,    0
   0, -60,    0
-100,   0,   30
 -70, -40,   30
 -30, -60,   30
   0, -60,   30
-100,   0,   70
 -70, -20,   70
 -30, -40,   70
   0, -40,   70
-100,   0,  100
 -70,   0,  100
 -30,   0,  100
   0,   0,  100
   0, -60,    0
  30, -60,    0
  70, -40,    0
 100,   0,    0
   0, -60,   30
  30, -60,   30
  70, -40,   30
 100,   0,   30
   0, -40,   70
  30, -40,   70
  70, -20,   70
 100,   0,   70
   0,   0,  100
  30,   0,  100
  70,   0,  100
 100,   0,  100
